"행정구역","2015년_거주자 인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_거주자 인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_거주자 인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_거주자 인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_거주자 인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_거주자 인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_거주자 인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_거주자 인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_거주자 인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"경기도 수원시 팔달구 우만2동(4111572000)","18,638","7,097","          2.63","9,297","9,341","          1.00","18,554","7,193","          2.58","9,310","9,244","          1.01","18,167","7,236","          2.51","9,162","9,005","          1.02","17,718","7,248","          2.44","8,866","8,852","          1.00","17,313","7,253","          2.39","8,631","8,682","          0.99","17,138","7,492","          2.29","8,567","8,571","          1.00","16,801","7,545","          2.23","8,449","8,352","          1.01","16,874","7,737","          2.18","8,460","8,414","          1.01","16,714","7,825","          2.14","8,346","8,368","          1.00","16,557","7,850","          2.11","8,293","8,264","          1.00"
"경기도 수원시 팔달구 인계동(4111573000)","42,810","19,110","          2.24","21,516","21,294","          1.01","43,309","19,886","          2.18","21,916","21,393","          1.02","42,194","20,033","          2.11","21,423","20,771","          1.03","37,209","18,452","          2.02","18,796","18,413","          1.02","37,221","19,206","          1.94","18,756","18,465","          1.02","38,399","20,513","          1.87","19,341","19,058","          1.01","39,402","21,766","          1.81","19,807","19,595","          1.01","38,737","21,721","          1.78","19,390","19,347","          1.00","45,254","24,530","          1.84","22,747","22,507","          1.01","44,693","24,252","          1.84","22,399","22,294","          1.00"
"경기도 수원시 팔달구 행궁동(4111574000)","11,034","5,863","          1.88","5,842","5,192","          1.13","10,941","5,911","          1.85","5,811","5,130","          1.13","10,781","6,013","          1.79","5,695","5,086","          1.12","10,751","6,176","          1.74","5,675","5,076","          1.12","10,555","6,263","          1.69","5,575","4,980","          1.12","10,543","6,443","          1.64","5,630","4,913","          1.15","10,253","6,390","          1.60","5,475","4,778","          1.15","9,760","6,135","          1.59","5,208","4,552","          1.14","9,292","5,937","          1.57","4,911","4,381","          1.12","9,063","5,821","          1.56","4,750","4,313","          1.10"
"경기도 경기도 수원시 영통구 (4111700000)","334,266","123,557","          2.71","168,486","165,780","          1.02","339,315","126,616","          2.68","170,696","168,619","          1.01","348,387","132,631","          2.63","175,424","172,963","          1.01","354,634","138,654","          2.56","178,386","176,248","          1.01","366,936","145,574","          2.52","184,251","182,685","          1.01","367,332","148,896","          2.47","184,280","183,052","          1.01","362,050","150,143","          2.41","181,534","180,516","          1.01","359,061","151,753","          2.37","180,175","178,886","          1.01","361,580","153,937","          2.35","181,217","180,363","          1.00","359,847","154,515","          2.33","180,214","179,633","          1.00"
"경기도 수원시 영통구 매탄1동(4111751000)","20,872","7,827","          2.67","10,533","10,339","          1.02","20,715","7,869","          2.63","10,435","10,280","          1.02","20,255","7,800","          2.60","10,180","10,075","          1.01","19,645","7,755","          2.53","9,824","9,821","          1.00","18,837","7,691","          2.45","9,451","9,386","          1.01","18,219","7,670","          2.38","9,183","9,036","          1.02","17,503","7,584","          2.31","8,819","8,684","          1.02","13,375","5,963","          2.24","6,785","6,590","          1.03","11,565","5,105","          2.27","5,867","5,698","          1.03","11,322","5,054","          2.24","5,739","5,583","          1.03"
"경기도 수원시 영통구 매탄2동(4111752000)","17,108","6,491","          2.64","8,545","8,563","          1.00","16,719","6,415","          2.61","8,298","8,421","          0.99","16,086","6,255","          2.57","8,020","8,066","          0.99","15,674","6,274","          2.50","7,760","7,914","          0.98","15,283","6,303","          2.42","7,589","7,694","          0.99","15,063","6,453","          2.33","7,491","7,572","          0.99","14,693","6,472","          2.27","7,295","7,398","          0.99","14,269","6,433","          2.22","7,102","7,167","          0.99","13,850","6,361","          2.18","6,900","6,950","          0.99","13,555","6,323","          2.14","6,759","6,796","          0.99"
"경기도 수원시 영통구 매탄3동(4111753000)","38,073","14,889","          2.56","19,601","18,472","          1.06","38,273","15,143","          2.53","19,698","18,575","          1.06","38,341","15,639","          2.45","19,849","18,492","          1.07","37,456","15,489","          2.42","19,470","17,986","          1.08","36,388","15,276","          2.38","18,938","17,450","          1.09","36,100","15,343","          2.35","18,691","17,409","          1.07","35,819","15,751","          2.27","18,580","17,239","          1.08","35,190","15,866","          2.22","18,298","16,892","          1.08","34,365","15,637","          2.20","17,829","16,536","          1.08","34,052","15,537","          2.19","17,606","16,446","          1.07"
"경기도 수원시 영통구 매탄4동(4111754000)","24,715","9,347","          2.64","12,302","12,413","          0.99","24,315","9,356","          2.60","12,109","12,206","          0.99","23,899","9,419","          2.54","11,820","12,079","          0.98","23,234","9,315","          2.49","11,484","11,750","          0.98","22,342","9,250","          2.42","11,043","11,299","          0.98","21,871","9,373","          2.33","10,730","11,141","          0.96","21,324","9,388","          2.27","10,421","10,903","          0.96","20,861","9,493","          2.20","10,146","10,715","          0.95","20,223","9,441","          2.14","9,837","10,386","          0.95","19,712","9,389","          2.10","9,577","10,135","          0.94"
"경기도 수원시 영통구 원천동(4111755000)","24,288","11,479","          2.12","12,665","11,623","          1.09","24,189","11,506","          2.10","12,612","11,577","          1.09","24,552","12,137","          2.02","12,883","11,669","          1.10","28,752","13,984","          2.06","14,970","13,782","          1.09","38,370","17,485","          2.19","19,534","18,836","          1.04","38,960","17,803","          2.19","19,697","19,263","          1.02","38,654","17,996","          2.15","19,564","19,090","          1.02","40,276","19,242","          2.09","20,316","19,960","          1.02","45,258","20,898","          2.17","22,807","22,451","          1.02","45,453","21,116","          2.15","22,899","22,554","          1.02"
"경기도 수원시 영통구 영통1동(4111757000)","42,195","15,077","          2.80","21,203","20,992","          1.01","42,123","15,145","          2.78","21,132","20,991","          1.01","36,680","12,080","          3.04","18,169","18,511","          0.98","36,159","12,181","          2.97","17,862","18,297","          0.98","36,333","12,466","          2.91","17,916","18,417","          0.97","35,767","12,593","          2.84","17,646","18,121","          0.97","34,615","12,526","          2.76","17,021","17,594","          0.97","33,736","12,470","          2.71","16,577","17,159","          0.97","33,030","12,457","          2.65","16,194","16,836","          0.96","32,678","12,470","          2.62","15,962","16,716","          0.95"
"경기도 수원시 영통구 영통2동(4111758000)","47,119","15,485","          3.04","23,508","23,611","          1.00","46,881","15,596","          3.01","23,389","23,492","          1.00","27,755","12,678","          2.19","14,643","13,112","          1.12","27,600","12,965","          2.13","14,627","12,973","          1.13","26,524","12,815","          2.07","14,035","12,489","          1.12","26,640","13,121","          2.03","14,070","12,570","          1.12","26,095","13,124","          1.99","13,802","12,293","          1.12","25,964","13,404","          1.94","13,833","12,131","          1.14","25,295","13,391","          1.89","13,513","11,782","          1.15","24,945","13,314","          1.87","13,258","11,687","          1.13"
"경기도 수원시 영통구 영통3동(4111758500)","0","0","          0.00","0","0","          0.00","","","","","","","33,170","12,161","          2.73","16,809","16,361","          1.03","33,331","12,691","          2.63","16,947","16,384","          1.03","32,898","12,862","          2.56","16,759","16,139","          1.04","32,811","13,158","          2.49","16,756","16,055","          1.04","32,432","13,436","          2.41","16,574","15,858","          1.05","32,074","13,649","          2.35","16,477","15,597","          1.06","31,510","13,720","          2.30","16,194","15,316","          1.06","31,332","13,907","          2.25","16,144","15,188","          1.06"
"경기도 수원시 영통구 태장동(4111759000)","51,352","18,717","          2.74","26,377","24,975","          1.06","54,955","20,163","          2.73","28,118","26,837","          1.05","52,128","17,074","          3.05","26,089","26,039","          1.00","52,371","17,374","          3.01","26,158","26,213","          1.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"경기도 수원시 영통구 망포1동(4111759300)","0","0","          0.00","0","0","          0.00","","","","","","","","","","","","","","","","","","","31,952","10,824","          2.95","16,026","15,926","          1.01","31,646","10,903","          2.90","15,943","15,703","          1.02","31,038","10,897","          2.85","15,645","15,393","          1.02","31,873","11,426","          2.79","16,054","15,819","          1.01","31,630","11,454","          2.76","15,869","15,761","          1.01","31,421","11,400","          2.76","15,784","15,637","          1.01"
"경기도 수원시 영통구 망포2동(4111759600)","0","0","          0.00","0","0","          0.00","","","","","","","","","","","","","","","","","","","28,156","9,389","          3.00","14,043","14,113","          1.00","28,257","9,467","          2.98","14,114","14,143","          1.00","27,783","9,390","          2.96","13,876","13,907","          1.00","29,788","10,136","          2.94","14,850","14,938","          0.99","33,381","11,301","          2.95","16,590","16,791","          0.99","33,477","11,290","          2.97","16,689","16,788","          0.99"
"경기도 수원시 영통구 광교1동(4111760000)","44,332","15,578","          2.85","22,001","22,331","          0.99","45,632","16,233","          2.81","22,580","23,052","          0.98","49,968","17,993","          2.78","24,648","25,320","          0.97","52,234","20,117","          2.60","25,656","26,578","          0.97","51,964","20,540","          2.53","25,427","26,537","          0.96","53,043","21,644","          2.45","25,944","27,099","          0.96","52,867","21,972","          2.41","25,860","27,007","          0.96","52,661","22,106","          2.38","25,867","26,794","          0.97","52,879","22,578","          2.34","25,874","27,005","          0.96","53,531","23,083","          2.32","26,159","27,372","          0.96"
"경기도 수원시 영통구 광교2동(4111761000)","24,212","8,667","          2.79","11,751","12,461","          0.94","25,513","9,190","          2.78","12,325","13,188","          0.93","25,553","9,395","          2.72","12,314","13,239","          0.93","28,178","10,509","          2.68","13,628","14,550","          0.94","27,889","10,673","          2.61","13,490","14,399","          0.94","28,955","11,368","          2.55","14,015","14,940","          0.94","29,227","11,607","          2.52","14,077","15,150","          0.93","28,994","11,565","          2.51","13,870","15,124","          0.92","28,594","11,594","          2.47","13,743","14,851","          0.93","28,369","11,632","          2.44","13,638","14,731","          0.93"
